2.901000, 0.097000, 0.002000
1.937000, 0.062000, 0.001000
1.933000, 0.066000, 0.001000
0.970000, 0.029000, 0.001000
3.891000, 0.101000, 0.008000
0.000000, 0.000000, 0.000000
3.874000, 0.120000, 0.006000
3.855000, 0.144000, 0.001000
3.782000, 0.214000, 0.004000
0.000000, 0.000000, 0.000000
0.977000, 0.023000, 0.000000
0.970000, 0.030000, 0.000000
3.888000, 0.107000, 0.005000
0.977000, 0.023000, 0.000000
0.000000, 0.000000, 0.000000
2.909000, 0.088000, 0.003000
2.873000, 0.121000, 0.006000
2.841000, 0.155000, 0.004000
0.000000, 0.000000, 0.000000
0.975000, 0.025000, 0.000000
2.898000, 0.101000, 0.001000
1.946000, 0.051000, 0.003000
0.963000, 0.037000, 0.000000
3.845000, 0.149000, 0.006000
0.989000, 0.011000, 0.000000
0.000000, 0.000000, 0.000000
1.946000, 0.052000, 0.002000
3.795000, 0.202000, 0.003000
0.000000, 0.000000, 0.000000
1.930000, 0.065000, 0.005000
3.798000, 0.198000, 0.004000
1.911000, 0.088000, 0.001000
4.831000, 0.168000, 0.001000
0.983000, 0.016000, 0.001000
3.839000, 0.157000, 0.004000
0.982000, 0.018000, 0.000000
0.889000, 0.110000, 0.001000
0.939000, 0.060000, 0.001000
0.972000, 0.028000, 0.000000
1.953000, 0.044000, 0.003000
1.951000, 0.048000, 0.001000
3.880000, 0.115000, 0.005000
1.921000, 0.077000, 0.002000
0.960000, 0.039000, 0.001000
0.982000, 0.017000, 0.001000
1.945000, 0.054000, 0.001000
3.785000, 0.211000, 0.004000
2.919000, 0.078000, 0.003000
3.781000, 0.218000, 0.001000
2.879000, 0.118000, 0.003000
0.000000, 0.000000, 0.000000
0.970000, 0.030000, 0.000000
0.962000, 0.037000, 0.001000
0.942000, 0.056000, 0.002000
0.000000, 0.000000, 0.000000
1.907000, 0.090000, 0.003000
0.000000, 0.000000, 0.000000
0.967000, 0.033000, 0.000000
0.958000, 0.042000, 0.000000
